arch	circuit	script_params	vtr_flow_elapsed_time	error	odin_synth_time	max_odin_mem	abc_depth	abc_synth_time	abc_cec_time	abc_sec_time	max_abc_mem	ace_time	max_ace_mem	num_clb	num_io	num_memories	num_mult	vpr_status	vpr_revision	vpr_build_info	vpr_compiler	vpr_compiled	hostname	rundir	max_vpr_mem	num_primary_inputs	num_primary_outputs	num_pre_packed_nets	num_pre_packed_blocks	num_netlist_clocks	num_post_packed_nets	num_post_packed_blocks	device_width	device_height	device_grid_tiles	device_limiting_resources	device_name	pack_time	placed_wirelength_est	place_time	place_quench_time	placed_CPD_est	placed_setup_TNS_est	placed_setup_WNS_est	placed_geomean_nonvirtual_intradomain_critical_path_delay_est	place_delay_matrix_lookup_time	place_quench_timing_analysis_time	place_quench_sta_time	place_total_timing_analysis_time	place_total_sta_time	min_chan_width	routed_wirelength	min_chan_width_route_success_iteration	logic_block_area_total	logic_block_area_used	min_chan_width_routing_area_total	min_chan_width_routing_area_per_tile	min_chan_width_route_time	min_chan_width_total_timing_analysis_time	min_chan_width_total_sta_time	crit_path_routed_wirelength	crit_path_route_success_iteration	crit_path_total_nets_routed	crit_path_total_connections_routed	crit_path_total_heap_pushes	crit_path_total_heap_pops	critical_path_delay	geomean_nonvirtual_intradomain_critical_path_delay	setup_TNS	setup_WNS	hold_TNS	hold_WNS	crit_path_routing_area_total	crit_path_routing_area_per_tile	router_lookahead_computation_time	crit_path_route_time	crit_path_total_timing_analysis_time	crit_path_total_sta_time	total_power	routing_power_perc	clock_power_perc	tile_power_perc	
k6_N10_I40_Fi6_L4_frac0_ff1_130nm.xml	bgm.v	common	1001.49		21.76	392604	22	498.71	-1	-1	152660	-1	-1	3226	257	0	11	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	688364	257	32	32168	31683	1	18850	3526	68	68	4624	clb	auto	17.47	261060	87.67	0.59	17.8318	-23770.9	-17.8318	17.8318	30.56	0.0778818	0.056732	9.6271	7.0857	66	405813	23	2.2854e+08	1.73861e+08	2.05906e+07	4452.98	205.86	40.3086	31.5187	386195	20	91510	436169	24669839	3969839	20.1129	20.1129	-26723.2	-20.1129	0	0	2.54527e+07	5504.48	7.31	12.16	5.8409	4.90804	1.317	0.3307	0.02443	0.6449	
k6_N10_I40_Fi6_L4_frac0_ff1_130nm.xml	blob_merge.v	common	167.26		0.64	59272	18	85.67	-1	-1	67556	-1	-1	688	36	0	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	157224	36	100	6600	6700	1	2823	824	33	33	1089	clb	auto	1.83	51124	5.45	0.04	9.1879	-2675.84	-9.1879	9.1879	3.03	0.0107914	0.0091292	1.70375	1.25499	62	75698	38	4.93869e+07	3.70792e+07	4.34183e+06	3986.99	47.69	8.15251	6.57611	69942	13	11685	66360	2995952	372422	10.9318	10.9318	-3032.11	-10.9318	0	0	5.36507e+06	4926.60	1.67	1.73	0.959089	0.833779	0.2263	0.2852	0.02962	0.6852	
k6_N10_I40_Fi6_L4_frac0_ff1_130nm.xml	boundtop.v	common	7.91		0.79	46916	2	0.44	-1	-1	37068	-1	-1	89	114	0	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	66072	114	192	455	647	1	308	395	14	14	196	clb	auto	0.09	761	0.57	0.00	1.6729	-216.114	-1.6729	1.6729	0.43	0.000980915	0.000860283	0.162867	0.140903	30	2386	29	8.01255e+06	4.79657e+06	375824.	1917.47	2.35	0.543892	0.483657	1961	9	621	864	67469	18554	2.32295	2.32295	-279.266	-2.32295	0	0	464326.	2369.01	0.13	0.05	0.0282556	0.0259956	0.04863	0.2532	0.09951	0.6473	
k6_N10_I40_Fi6_L4_frac0_ff1_130nm.xml	ch_intrinsics.v	common	3.32		0.05	9360	3	0.31	-1	-1	36188	-1	-1	70	99	1	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	64648	99	130	363	493	1	254	300	12	12	144	clb	auto	0.05	637	0.31	0.00	1.99999	-206.507	-1.99999	1.99999	0.20	0.000432724	0.000379633	0.0837723	0.0723465	40	1648	20	4.86858e+06	4.32058e+06	318116.	2209.14	0.91	0.237158	0.209278	1482	12	555	807	64512	21941	2.70645	2.70645	-249.933	-2.70645	0	0	401429.	2787.70	0.10	0.03	0.0147293	0.0134884	0.04238	0.2004	0.0875	0.7121	
k6_N10_I40_Fi6_L4_frac0_ff1_130nm.xml	diffeq1.v	common	15.26		0.04	8992	15	0.43	-1	-1	34612	-1	-1	52	162	0	5	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	75208	162	96	999	932	1	707	315	16	16	256	mult_36	auto	0.25	5509	1.04	0.01	19.9589	-1764.56	-19.9589	19.9589	0.54	0.00345671	0.00315515	0.49119	0.441855	50	11983	29	9.73716e+06	2.80249e+06	746321.	2915.31	8.84	1.675	1.52572	9956	21	3230	6801	2149843	531129	23.0252	23.0252	-2035.7	-23.0252	0	0	955817.	3733.66	0.24	0.67	0.196275	0.182185	0.04763	0.329	0.01818	0.6528	
k6_N10_I40_Fi6_L4_frac0_ff1_130nm.xml	diffeq2.v	common	14.16		0.03	8204	14	0.33	-1	-1	33608	-1	-1	37	66	0	7	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	69676	66	96	719	590	1	552	206	18	18	324	mult_36	auto	0.13	4864	0.41	0.00	15.2361	-903.939	-15.2361	15.2361	0.52	0.00143401	0.00133028	0.201586	0.183051	38	12103	29	1.25396e+07	1.99408e+06	768853.	2373.00	8.97	1.06094	0.979285	9845	18	2999	6779	2560467	614308	17.5608	17.5608	-1085.85	-17.5608	0	0	971792.	2999.36	0.29	0.67	0.146814	0.137805	0.05563	0.2886	0.0218	0.6896	
k6_N10_I40_Fi6_L4_frac0_ff1_130nm.xml	LU8PEEng.v	common	1051.23		21.64	227552	129	257.48	-1	-1	100900	-1	-1	2650	114	44	8	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	601952	114	102	29578	29304	1	15467	2918	62	62	3844	clb	auto	13.40	241228	52.94	0.32	74.4372	-62189.2	-74.4372	74.4372	23.52	0.0565953	0.0470431	9.63737	6.94589	78	351833	27	1.89352e+08	1.66931e+08	1.93958e+07	5045.73	553.88	31.7783	24.1038	323930	18	56919	237907	40655830	8858260	88.4711	88.4711	-81623.7	-88.4711	-9.96178	-0.204056	2.45017e+07	6374.02	7.72	14.00	4.00906	3.29306	0.8797	0.3519	0.009987	0.6381	
k6_N10_I40_Fi6_L4_frac0_ff1_130nm.xml	LU32PEEng.v	common	6447.09		169.67	770432	128	1492.76	-1	-1	298656	-1	-1	9181	114	167	32	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	2176996	114	102	102506	101104	1	54589	9596	113	113	12769	clb	auto	55.87	1137762	572.17	3.06	75.71	-396743	-75.71	75.71	77.98	0.321324	0.215019	45.3253	32.6934	110	1496997	37	6.3458e+08	5.86268e+08	8.84209e+07	6924.65	3538.90	180.068	139.344	1409291	19	192509	859898	237614431	59510906	87.2402	87.2402	-561033	-87.2402	-32.0581	-0.163771	1.12508e+08	8811.03	47.89	89.00	15.769	13.0847	3.485	0.4169	0.0091	0.574	
k6_N10_I40_Fi6_L4_frac0_ff1_130nm.xml	mcml.v	common	12334.21		70.92	954100	75	8916.05	-1	-1	447688	-1	-1	8827	36	159	27	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	1957772	36	33	134466	132924	1	42877	9082	111	111	12321	clb	auto	36.66	575500	314.82	1.83	62.6821	-323144	-62.6821	62.6821	76.41	0.186016	0.15549	32.2593	24.8172	76	743108	23	6.19761e+08	5.62809e+08	6.20212e+07	5033.78	2292.00	121.971	97.9344	721017	18	143488	487489	76331225	16939092	68.3856	68.3856	-394964	-68.3856	-0.182629	-0.0183325	7.73530e+07	6278.14	25.01	32.86	13.9467	11.9616	2.594	0.3157	0.0122	0.6721	
k6_N10_I40_Fi6_L4_frac0_ff1_130nm.xml	mkDelayWorker32B.v	common	76.49		0.83	78784	5	9.16	-1	-1	52484	-1	-1	503	506	47	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	267120	506	553	3285	3838	1	3016	1609	50	50	2500	memory	auto	3.02	13920	5.12	0.04	6.28873	-1883.39	-6.28873	6.28873	14.85	0.0115589	0.0104695	2.53168	2.2625	38	21473	15	1.19435e+08	5.28654e+07	6.57953e+06	2631.81	25.11	7.18953	6.58087	20533	14	3920	4882	2935787	757946	7.26179	7.26179	-2448.47	-7.26179	-6.93636	-0.336313	8.28755e+06	3315.02	2.40	1.31	0.880661	0.81762	0.81	0.1562	0.05268	0.7912	
k6_N10_I40_Fi6_L4_frac0_ff1_130nm.xml	mkPktMerge.v	common	21.84		0.14	17016	2	0.12	-1	-1	33664	-1	-1	32	311	15	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	91676	311	156	972	1128	1	953	514	28	28	784	memory	auto	0.47	8378	0.91	0.01	4.54593	-4260.94	-4.54593	4.54593	2.24	0.00273473	0.00231106	0.40801	0.339559	34	15368	24	3.53916e+07	9.94461e+06	1.78976e+06	2282.86	11.11	1.3651	1.18373	14436	11	2754	3098	2475725	741589	5.29017	5.29017	-5136.96	-5.29017	-11.9117	-0.287771	2.20520e+06	2812.76	0.77	0.78	0.147992	0.134549	0.3181	0.1761	0.02486	0.799	
