

Constant = 1.000000

	0	20	40	60	70	80	20	
LU32PEEng.v	172	178	182	218	304	426	178	
bgm.v	114	128	124	132	152	226	128	
LU8PEEng.v	110	116	118	128	158	236	116	
mcml.v	108	114	128	116	152	256	114	
mkDelayWorker32B.v	76	80	82	88	100	132	80	
mkSMAdapter4B.v	58	62	68	78	112	172	62	
stereovision0.v	62	60	70	88	110	166	60	
stereovision1.v	104	108	116	120	178	312	108	
stereovision2.v	162	164	168	194	244	360	164	
